Date,precio_bogota,colcap
2019-12-18,54295.65625,1635.73
2019-12-19,54358.13671875,1646.72
2019-12-20,54358.13671875,1642.86
2019-12-23,54982.9375,1665.04
2019-12-24,54982.9375,1666.62
2019-12-26,55810.71875,1659.89
2019-12-27,54543.9921875,1661.21
2019-12-30,53390.140625,1662.42
2020-01-02,53390.140625,1658.77
2020-01-03,55672.734375,1676.49
2020-01-07,53929.4296875,1663.83
2020-01-08,53929.4296875,1656.96
2020-01-09,54631.7734375,1653.54
2020-01-10,55748.00390625,1654.93
2020-01-13,53954.52734375,1651.93
2020-01-14,54681.93359375,1653.18
2020-01-15,55183.60546875,1648.78
2020-01-16,55497.16796875,1647.8
2020-01-17,55497.16796875,1656.04
2020-01-20,53992.14453125,1656.37
2020-01-21,54870.0703125,1653.48
2020-01-22,55559.8671875,1650.36
2020-01-23,54870.0703125,1648.18
2020-01-24,55810.71875,1647.91
2020-01-27,54970.41015625,1623.97
2020-01-28,55385.7890625,1624.66
2020-01-29,55624.953125,1633.81
2020-01-30,55108.90234375,1638.15
2020-01-31,56015.19140625,1623.83
2020-02-03,56015.19140625,1625.18
2020-02-04,56040.3671875,1643.92
2020-02-05,56015.19140625,1656.3
2020-02-06,56455.734375,1653.96
2020-02-07,56455.734375,1654.7
2020-02-10,54882.27734375,1643.17
2020-02-11,55045.921875,1645.22
2020-02-12,55045.921875,1659.54
2020-02-13,55348.03125,1663.07
2020-02-14,56455.734375,1664.4
2020-02-17,56455.734375,1665.39
2020-02-18,56455.734375,1665.36
2020-02-19,56480.92578125,1676.29
2020-02-20,56480.92578125,1669.6
2020-02-21,56417.97265625,1631.45
2020-02-24,56430.56640625,1622.66
2020-02-25,55697.8828125,1612.48
2020-02-26,55584.171875,1589.74
2020-02-27,55053.6015625,1556.69
2020-02-28,54346.16796875,1549.61
2020-03-02,54952.546875,1536.48
2020-03-03,54636.73046875,1512.61
2020-03-04,54674.609375,1544.53
2020-03-05,55558.91796875,1546.66
2020-03-06,55521.015625,1502.84
2020-03-09,52426.0,1344.6
2020-03-10,50606.87109375,1360.21
2020-03-11,51794.328125,1295.46
2020-03-12,51162.71484375,1174.31
2020-03-13,51162.71484375,1174.31
2020-03-16,44214.69140625,997.78
2020-03-17,46678.078125,1000.5
2020-03-18,41056.5,894.03
2020-03-19,39161.578125,899.75
2020-03-20,39161.578125,919.59
2020-03-24,36635.0234375,923.53
2020-03-25,39148.9453125,1046.18
2020-03-26,39148.9453125,1167.04
2020-03-27,47097.62109375,1147.54
